method,score_1day,score_3day,delta_3day_minus_1day,acc_1day,acc_3day
gb,0.27,0.328,0.058,0.334,0.419
ma,0.291,0.342,0.052,0.37,0.469
rf5,0.302,0.349,0.047,0.391,0.488
rf6,0.296,0.343,0.047,0.382,0.476
random,0.3,0.322,0.022,0.336,0.404
lgbm,0.344,0.348,0.004,0.361,0.414
momentum,0.345,0.333,-0.012,0.353,0.342
hgb_best_fast,0.321,0.303,-0.018,0.362,0.388
rf_best_fast,0.341,0.323,-0.018,0.386,0.354
svm_linear,0.359,0.324,-0.036,0.394,0.335
logreg_ovr,0.368,0.214,-0.154,0.402,0.216
logreg_multinomial,0.364,0.208,-0.156,0.393,0.207
