method,accuracy,macro_recall,min_recall,score
rf5,0.4881181759794477,0.35255496197514996,0.0,0.3498255765822688
rf6,0.47591522157996147,0.3486436910882605,0.0,0.3425507181164589
ma,0.4694926140012845,0.35571142619965723,0.0,0.34145973486053943
momentum,0.3416827231856134,0.3378758569481753,0.302734375,0.33275099367725924
gb,0.4187540141297367,0.3384159752510518,0.07865168539325842,0.32663213671883556
rf_best_fast,0.35388567758509953,0.3220255250606568,0.24719101123595505,0.3229886985579378
random,0.4039820166987797,0.3401479179604383,0.0898876404494382,0.322012911827409
svm_linear,0.3346178548490687,0.3359387661912006,0.26953125,0.3219968072818945
hgb_best_fast,0.38792549775208734,0.33392456940472864,0.052434456928838954,0.30462701108323004
lgbm,0.3519588953114965,0.33322493608367115,0.072265625,0.2904000534808496
logreg_ovr,0.21644187540141296,0.3420427041411122,0.02313624678663239,0.2154609983003666
logreg_multinomial,0.20680796403339757,0.346439509207241,0.0,0.20733583477887108
