method,accuracy,macro_recall,min_recall,score
rf_best_slow,0.38471419396274886,0.38895433401131535,0.2956810631229236,0.36817960980935377
logreg_ovr,0.4020552344251766,0.3964040138025852,0.23841059602649006,0.3676309405586619
ensemble_lr_svm,0.39755940912010274,0.39439802997860923,0.24503311258278146,0.3661057360701904
logreg_multinomial,0.3930635838150289,0.3928717254465548,0.24944812362030905,0.36428293426554276
svm_linear,0.3943481053307643,0.38034545401934006,0.24061810154525387,0.35940130918023494
momentum,0.35324341682723187,0.3507309054834033,0.31788079470198677,0.34541713899903426
lgbm,0.36095054592164416,0.36525038240278,0.2707641196013289,0.34420321160192185
rf_best_fast,0.38599871547848424,0.39557417705229964,0.1478405315614618,0.34123971716722434
hgb_best_fast,0.3615928066795119,0.37595947180648576,0.1378737541528239,0.3211589957122664
rf5,0.3911368015414258,0.3541469567959634,0.0,0.30181248780950193
random,0.33590237636480413,0.3336748030843972,0.16135458167330677,0.3003245454423826
rf6,0.3815028901734104,0.3502123165606917,0.0,0.2958151400549127
ma,0.3699421965317919,0.3520836847496327,0.0,0.29059620369078576
gb,0.33397559409120103,0.33565108605252975,0.0099601593625498,0.2696751547338694
