method,period,n,acc,macro_f1,bal_acc
rf_best_fast,2016,244,0.4016393442622951,0.33290188068938514,0.3791867308721241
rf_best_slow,2016,244,0.3975409836065574,0.3170021379440457,0.37389607528404617
rf1,2016,244,0.38524590163934425,0.2850349530569205,0.3622667044345828
logreg_multinomial,2016,244,0.36475409836065575,0.3418614636484368,0.35750165234633174
logreg_ovr,2016,244,0.36065573770491804,0.34511363580978,0.35344474868599124
rf6,2016,244,0.3524590163934426,0.273464986948133,0.3565826330532213
rf5,2016,244,0.3360655737704918,0.2543752543752544,0.3375350140056022
rf2,2016,244,0.319672131147541,0.313908937004366,0.3155855600667233
rf4,2016,244,0.29918032786885246,0.24196251187699747,0.30980392156862746
rf3,2016,244,0.29098360655737704,0.2539343372676706,0.29705410253989234
logreg_multinomial,2017-2019_bull,754,0.4270557029177719,0.39976932643998614,0.409315597702542
logreg_ovr,2017-2019_bull,754,0.4217506631299735,0.39921129165660346,0.40251957268358
rf_best_slow,2017-2019_bull,754,0.40583554376657827,0.30976082740788624,0.38007177845997403
rf_best_fast,2017-2019_bull,754,0.40450928381962864,0.3416015709482476,0.38180308127013846
rf1,2017-2019_bull,754,0.40450928381962864,0.30640738245493776,0.38022201757806506
rf5,2017-2019_bull,754,0.3541114058355438,0.259845135570264,0.34034476434989913
rf6,2017-2019_bull,754,0.35013262599469497,0.2629453112572914,0.34160401002506263
rf2,2017-2019_bull,754,0.33421750663129973,0.32205758787584204,0.3254329801787201
rf4,2017-2019_bull,754,0.32891246684350134,0.2637399631834168,0.3414022862033132
rf3,2017-2019_bull,754,0.29973474801061006,0.2489907399583472,0.3024644246876767
rf4,2020_covid,253,0.45454545454545453,0.334579175175638,0.3760233918128655
rf6,2020_covid,253,0.45454545454545453,0.328653563310603,0.36744639376218324
rf5,2020_covid,253,0.4308300395256917,0.2916392363396971,0.33742690058479535
rf3,2020_covid,253,0.4150197628458498,0.31156044536954436,0.3358475553964276
logreg_multinomial,2020_covid,253,0.40711462450592883,0.37452260566179846,0.4137128535624776
rf2,2020_covid,253,0.4031620553359684,0.38054041913934067,0.3860166288737717
rf_best_fast,2020_covid,253,0.39920948616600793,0.3906658817373103,0.4056450650435613
logreg_ovr,2020_covid,253,0.391304347826087,0.34451541108184086,0.37640529896168995
rf_best_slow,2020_covid,253,0.32806324110671936,0.32372466079559903,0.36610971874129766
rf1,2020_covid,253,0.32806324110671936,0.328469453059617,0.3731073716036122
rf2,2021_tech_boom,252,0.3968253968253968,0.38812797968110035,0.3888734567901235
rf_best_fast,2021_tech_boom,252,0.376984126984127,0.3693669660242354,0.3919135802469136
rf5,2021_tech_boom,252,0.376984126984127,0.29007690032534755,0.3523662551440329
rf4,2021_tech_boom,252,0.36904761904761907,0.2880780715170053,0.3563528806584362
rf6,2021_tech_boom,252,0.36507936507936506,0.2858925798540061,0.34773662551440326
rf_best_slow,2021_tech_boom,252,0.35714285714285715,0.3067704719645018,0.38532407407407404
logreg_ovr,2021_tech_boom,252,0.3492063492063492,0.3329681199415659,0.338204732510288
logreg_multinomial,2021_tech_boom,252,0.34523809523809523,0.3348264245276173,0.33926440329218105
rf3,2021_tech_boom,252,0.3373015873015873,0.27903331273121396,0.32087448559670784
rf1,2021_tech_boom,252,0.32142857142857145,0.24507214313372247,0.35056069958847735
rf_best_fast,2022_rate_hikes,56,0.42857142857142855,0.40997355283069564,0.40981047937569676
rf_best_slow,2022_rate_hikes,56,0.42857142857142855,0.4215230278157775,0.43890746934225194
rf4,2022_rate_hikes,56,0.42857142857142855,0.3141186299081036,0.36521739130434777
rf6,2022_rate_hikes,56,0.4107142857142857,0.2914529914529915,0.3463768115942029
rf3,2022_rate_hikes,56,0.39285714285714285,0.2940516273849607,0.336231884057971
rf2,2022_rate_hikes,56,0.375,0.35410828889089757,0.3530100334448161
rf5,2022_rate_hikes,56,0.35714285714285715,0.2673213311511184,0.3072463768115942
logreg_ovr,2022_rate_hikes,56,0.3392857142857143,0.2993981019903253,0.3259197324414716
logreg_multinomial,2022_rate_hikes,56,0.32142857142857145,0.2884344791038503,0.3092530657748049
rf1,2022_rate_hikes,56,0.30357142857142855,0.2758333333333333,0.3755295429208472
