method,accuracy,macro_recall,min_recall,score
ensemble_lr_svm,0.5093127809890816,0.4201191906866099,0.24666666666666667,0.4300254810338571
rf_best_fast,0.5709698137443803,0.37752152396447697,0.09090909090909091,0.4169231822433514
hgb_best_fast,0.5163776493256262,0.3833747480910385,0.18732782369146006,0.41066681382841663
logreg_multinomial,0.4598587026332691,0.4080308268776847,0.27,0.40633859937993994
svm_linear,0.45857418111753373,0.4078305322905689,0.27,0.4056362502459375
logreg_ovr,0.45664739884393063,0.40834821676188365,0.27,0.4048281644505304
rf6,0.48233782915863843,0.3436531267525776,0.1349862258953168,0.37126209778415586
rf5,0.48554913294797686,0.33576034906724356,0.12672176308539945,0.3688470238112414
momentum,0.3615928066795119,0.3621569570013743,0.35,0.3594434904401682
gb,0.35581245985870263,0.3345438521887576,0.2809917355371901,0.3344677326934166
random,0.3352601156069364,0.3348044816684231,0.33,0.3340714023039951
lgbm,0.357096981374438,0.33086003414252346,0.2809917355371901,0.3340048480374141
ma,0.23249839434810532,0.3590266299357208,0.0,0.2239571861547689
