l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
1.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4440874035989717,0.36016568927995957,0.3633281027062803
0.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.43251928020565555,0.3438147335423262,0.34884362643221767
0.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4537275064267352,0.34207272812843365,0.3549828409532809
0.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.43637532133676094,0.3413904957323382,0.35100470371419207
1.0,0.03,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4537275064267352,0.3395146462210978,0.35364021413251945
0.0,0.03,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4286632390745501,0.3388050947265498,0.34472259979700476
1.0,0.03,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.43573264781491,0.3376436824899441,0.346958462739793
0.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4254498714652956,0.3369639282871348,0.3434791341961716
1.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4241645244215938,0.33417524887235156,0.3403058010473304
1.0,0.03,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4383033419023136,0.3334203147704713,0.3444455988341308
1.0,0.07,5,200,50,42,,0.46272493573264784,0.3332873453246094,0.35455901502557424
1.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.43316195372750643,0.33261411949138986,0.3435744616859804
0.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4055269922879177,0.3325986913915939,0.33625344318734235
1.0,0.03,5,200,20,42,balanced,0.38110539845758357,0.3311792848597781,0.3383726155323809
1.0,0.07,5,200,50,42,balanced,0.39010282776349614,0.3305926283144432,0.33357301538090556
0.0,0.07,5,200,20,42,balanced,0.41966580976863754,0.32990170087393084,0.3413834569992174
0.0,0.07,5,200,50,42,balanced,0.39331619537275064,0.3295697120002873,0.3332624076835652
0.0,0.07,5,200,50,42,,0.4556555269922879,0.3295537571777349,0.35020175571436196
0.0,0.03,5,200,50,42,,0.46593830334190234,0.3291428571428571,0.35600142723826284
1.0,0.03,5,200,50,42,,0.46786632390745503,0.32759225041615786,0.3553516871832331
0.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4389460154241645,0.3269148055975658,0.34132283018743087
0.0,0.07,3,200,20,42,,0.4556555269922879,0.3259317811631695,0.34787689569988006
1.0,0.07,3,200,20,42,,0.46593830334190234,0.325921075057702,0.3528227984827785
1.0,0.07,3,200,50,42,,0.4652956298200514,0.3258431447260774,0.35297040202005187
0.0,0.03,5,200,20,42,balanced,0.39138817480719795,0.32510646215494493,0.336033544107019
1.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4235218508997429,0.32476972162763296,0.3346020220531531
0.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.44280205655526994,0.32466018405448743,0.3411340477238099
0.0,0.07,3,200,50,42,,0.45951156812339333,0.32314594404711783,0.34918420424085195
1.0,0.07,3,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.43766066838046275,0.3229682614851576,0.33805401514833905
0.0,0.03,3,200,20,42,balanced,0.34704370179948585,0.3226371470763935,0.3573566689036334
0.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4383033419023136,0.3224719066906345,0.3418967924766801
1.0,0.07,5,200,20,42,balanced,0.4158097686375321,0.32203685478587524,0.3344737120008768
1.0,0.07,3,200,20,42,balanced,0.352827763496144,0.31806727808003243,0.33964035485373917
0.0,0.03,5,200,50,42,balanced,0.35539845758354754,0.317850147418112,0.3353789880722505
1.0,0.03,3,200,50,42,,0.48586118251928023,0.3171573101150723,0.3594061672280174
0.0,0.03,3,200,20,42,,0.4691516709511568,0.3170575777163857,0.3509126350592405
0.0,0.07,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4434447300771208,0.3169620916364606,0.34146280240073895
0.0,0.03,3,200,50,42,,0.480719794344473,0.31655595163168404,0.35664104585156337
0.0,0.07,3,200,20,42,balanced,0.36311053984575836,0.316065892212354,0.3315124002247098
1.0,0.03,3,200,20,42,balanced,0.3380462724935733,0.3159248082766633,0.3566118148913208
1.0,0.03,5,200,50,42,balanced,0.36053984575835474,0.31490364988881975,0.32411301857416946
1.0,0.03,5,200,20,42,,0.45437017994858614,0.3148052221807457,0.3433109362680508
0.0,0.07,3,200,50,42,balanced,0.359254498714653,0.3148028768747228,0.3336611320415693
0.0,0.07,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.45115681233933164,0.31461358707798043,0.34226641727907303
0.0,0.07,5,200,20,42,,0.43251928020565555,0.31360101457362277,0.3325786403992488
0.0,0.03,5,200,20,42,,0.44794344473007713,0.31296454282276814,0.33933243109599404
1.0,0.03,3,200,20,42,,0.4697943444730077,0.3122350969543878,0.34950538672589965
1.0,0.07,3,200,50,42,balanced,0.3508997429305913,0.31078463555110775,0.33222183411864353
1.0,0.07,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.44922879177377895,0.3105866647742132,0.3382584544737847
1.0,0.07,5,200,20,42,,0.43958868894601544,0.30831121663204925,0.33336389476546824
0.0,0.07,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.45629820051413883,0.300453138575751,0.33977699595964267
1.0,0.07,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.44151670951156813,0.3001167981195063,0.33327349494933484
1.0,0.07,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.461439588688946,0.29651587649971745,0.34284452866955695
1.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4646529562982005,0.2962570969508022,0.3442619411511323
1.0,0.07,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.44280205655526994,0.2961889412067055,0.3305419803073471
0.0,0.07,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.46272493573264784,0.29557456843123625,0.34247085660451865
1.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4633676092544987,0.2950381644272208,0.34133303704217055
1.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.44473007712082263,0.2938911887926625,0.3346079254062162
1.0,0.07,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4755784061696658,0.2936024517584923,0.3471832730682128
0.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4582262210796915,0.2929766397734026,0.33919773806375025
1.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4633676092544987,0.2881922712511505,0.3406782149130236
0.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.46593830334190234,0.2876022964080123,0.34075963979283613
0.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.44794344473007713,0.2861572909836431,0.33549898021136265
0.0,0.07,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4338046272493573,0.28472470832407343,0.3228975454449284
0.0,0.03,3,200,50,42,balanced,0.3059125964010283,0.28293111079128025,0.3315102287631768
