class_weight,max_depth,max_features,min_samples_leaf,n_estimators,n_jobs,random_state,val_acc,val_macro_f1,val_bal_acc
balanced_subsample,8,sqrt,1,100,-1,42,0.3991002570694087,0.3133687649874442,0.33890057306019644
balanced,8,sqrt,1,100,-1,42,0.40424164524421596,0.30400925277108093,0.3421545525164095
balanced,6,sqrt,1,100,-1,42,0.34897172236503854,0.2997265457961182,0.3388219043925263
balanced,8,sqrt,2,100,-1,42,0.397172236503856,0.29932111129290534,0.3352984863099731
balanced_subsample,8,sqrt,2,100,-1,42,0.37724935732647813,0.2936109215747808,0.3299872622263583
balanced_subsample,6,sqrt,1,100,-1,42,0.34190231362467866,0.29136743373147095,0.33891090146422015
balanced_subsample,6,sqrt,2,100,-1,42,0.33676092544987146,0.2853516165738225,0.33824669375927935
,8,sqrt,2,100,-1,42,0.4865038560411311,0.27986308199086646,0.3495782473088644
balanced,6,sqrt,2,100,-1,42,0.3296915167095116,0.26958895103728536,0.330292429771961
,6,sqrt,2,100,-1,42,0.47750642673521854,0.26527277612606953,0.34123350788927453
,6,sqrt,1,100,-1,42,0.4787917737789203,0.2644399079334434,0.34187505158042425
,8,sqrt,1,100,-1,42,0.47107969151670953,0.2618339466653224,0.3366126804536274
,4,sqrt,2,100,-1,42,0.4781491002570694,0.2373925925925926,0.33705802388971673
,4,sqrt,1,100,-1,42,0.4787917737789203,0.2339664724080869,0.33699340237713743
balanced,4,sqrt,2,100,-1,42,0.21979434447300772,0.20264216251803155,0.3456948462387432
balanced,4,sqrt,1,100,-1,42,0.2191516709511568,0.20038754615092833,0.3477319169701178
balanced_subsample,4,sqrt,2,100,-1,42,0.21401028277634962,0.19808284115021554,0.34459390210106605
balanced_subsample,4,sqrt,1,100,-1,42,0.2152956298200514,0.19782048351641435,0.34676451935927605
