l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
1.0,0.07,5,200,20,42,balanced,0.4174694926140013,0.35362092556967517,0.3558132600685792
1.0,0.03,5,200,20,42,,0.4489402697495183,0.3522383280639702,0.3545343722648688
1.0,0.07,5,200,20,42,,0.4168272318561336,0.3508172280646101,0.35212365354209324
0.0,0.07,5,200,50,42,,0.43673731535003213,0.3504120129234756,0.3512970924318442
1.0,0.07,5,200,50,42,balanced,0.44187540141297366,0.34955720667677936,0.3514142308468549
1.0,0.03,5,200,20,42,balanced,0.4515093127809891,0.34912166605731704,0.3543117585670777
0.0,0.07,3,200,20,42,balanced,0.43288375080282593,0.3479637746504425,0.35251157946193407
0.0,0.07,5,200,20,42,,0.40333975594091204,0.3466945343658326,0.34834784125564267
1.0,0.07,3,200,20,42,balanced,0.44315992292870904,0.3466019273573398,0.35126007466433
0.0,0.07,3,200,20,42,,0.4341682723185613,0.34493734563948536,0.34718507768153156
0.0,0.07,5,200,20,42,balanced,0.40141297366730894,0.3440031647926664,0.34841325621467467
0.0,0.07,5,200,50,42,balanced,0.4290301862556198,0.3434780255985577,0.3446288233522276
0.0,0.03,5,200,20,42,balanced,0.44508670520231214,0.34345142852250893,0.34878901190957934
0.0,0.03,5,200,20,42,,0.4393063583815029,0.34282574855022063,0.3466952261278502
1.0,0.07,5,200,50,42,,0.4386640976236352,0.34253573339755233,0.3448154334679157
0.0,0.07,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4714193962748876,0.33871788314816315,0.3524238524238524
1.0,0.07,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4861913937058446,0.3379078625345559,0.35613120719503694
1.0,0.07,3,200,20,42,,0.43031470777135516,0.33733391593286605,0.3404417588814752
0.0,0.07,3,200,50,42,balanced,0.464354527938343,0.33686028805828644,0.3461049702184454
1.0,0.07,3,200,50,42,,0.4720616570327553,0.3356727606911771,0.34668102753209135
0.0,0.07,3,200,50,42,,0.46692357096981374,0.3353039563412243,0.3451115756080296
1.0,0.07,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4707771355170199,0.3341415673361156,0.3565728849416793
0.0,0.03,3,200,50,42,balanced,0.5061014771997431,0.3334574043272998,0.3570064492050307
0.0,0.03,5,200,50,42,,0.46563904945407836,0.33323006021981366,0.34360855282841096
0.0,0.07,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4617854849068722,0.3320613135050137,0.35398366958650646
0.0,0.03,5,200,50,42,balanced,0.4707771355170199,0.332025764987185,0.3454386504031894
1.0,0.07,3,200,50,42,balanced,0.46499678869621064,0.33165601511248344,0.3429762082244352
0.0,0.03,3,200,50,42,,0.5003211303789339,0.331006338949547,0.35271188108067536
1.0,0.03,3,200,50,42,balanced,0.5048169556840078,0.32991120449971606,0.35438630119481185
0.0,0.03,3,200,20,42,balanced,0.4662813102119461,0.32632691928833085,0.3410979368426177
1.0,0.03,5,200,50,42,,0.46499678869621064,0.3260256407002835,0.3387049663645408
1.0,0.03,3,200,50,42,,0.5003211303789339,0.324605596642315,0.34893961844316457
1.0,0.03,3,200,20,42,,0.46756583172768146,0.3233405396901704,0.3375924049682915
0.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4881181759794477,0.32315480314042216,0.3545500921387446
0.0,0.03,3,200,20,42,,0.45857418111753373,0.3226537159830598,0.3348840228272852
1.0,0.03,5,200,50,42,balanced,0.4682080924855491,0.3183874638763973,0.3354616014190482
1.0,0.03,3,200,20,42,balanced,0.4592164418754014,0.31458376124433934,0.3305412808958908
0.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4900449582530507,0.31329564900194284,0.3508650494466097
1.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4630700064226076,0.31181031147212934,0.3407662982131067
0.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.481053307642903,0.3116937818240033,0.3474193545115531
1.0,0.07,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.4932562620423892,0.31163924159470013,0.3430563288719317
0.0,0.07,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.49967886962106617,0.31056806234441087,0.3448068128919193
1.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4951830443159923,0.3077571253479165,0.33847018244181365
0.0,0.07,5,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.4836223506743738,0.30764953095782815,0.3340554333462135
0.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5157353885677585,0.3062990992094665,0.34979001291058026
1.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.48876043673731534,0.3037231910697498,0.34227185645625363
1.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.5150931278098908,0.3026076942199494,0.35063229389470524
0.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.5099550417469493,0.30093131510461735,0.34759937242206745
0.0,0.07,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5048169556840078,0.3000436262943745,0.34419779455240446
0.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.49261400128452154,0.29702932692360323,0.34000718043271233
0.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5247270391779062,0.2964452584794745,0.3458960480237076
1.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4714193962748876,0.2957819237400035,0.3348099872922568
1.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.49775208734746307,0.29406331121867496,0.34048181920522347
1.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5022479126525369,0.29318486495798823,0.3379818521662494
1.0,0.07,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5009633911368016,0.29304750725439255,0.337312996887465
0.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.518946692357097,0.28982093744514015,0.34421554279710304
1.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.5202312138728323,0.28685985385981594,0.3430522721302863
0.0,0.07,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5240847784200385,0.2853076509643085,0.3427277327986548
1.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.48940269749518306,0.2840204394042347,0.33145709032233855
0.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.535645472061657,0.2840096975160044,0.346524335886038
0.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.4913294797687861,0.28284951848156187,0.3311756538706893
1.0,0.07,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.5093127809890816,0.2794764188649081,0.33489061503245904
0.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5073859987154785,0.27784185598530353,0.33001086192575557
1.0,0.07,3,200,20,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5157353885677585,0.2761095227832528,0.33356152505088676
1.0,0.07,5,200,50,42,"{'down': 0.79, 'flat': 1.49, 'up': 0.73}",0.5099550417469493,0.27100060630458855,0.3284216333861724
