class_weight,max_depth,max_features,min_samples_leaf,n_estimators,n_jobs,random_state,val_acc,val_macro_f1,val_bal_acc
,8,sqrt,1,100,-1,42,0.4797687861271676,0.3217785750983839,0.34058019519012434
balanced,8,sqrt,1,100,-1,42,0.4701348747591522,0.3203726531699654,0.33674048922275873
balanced,8,sqrt,2,100,-1,42,0.4836223506743738,0.31811194487377054,0.3415142599539763
,8,sqrt,2,100,-1,42,0.47591522157996147,0.3143628304766193,0.3349316895416186
balanced,6,sqrt,2,100,-1,42,0.5093127809890816,0.302789302845018,0.3425319950142645
balanced,6,sqrt,1,100,-1,42,0.5022479126525369,0.3022081944082806,0.33966134320744246
,6,sqrt,1,100,-1,42,0.49775208734746307,0.30031501522226395,0.3362851199730632
,6,sqrt,2,100,-1,42,0.5048169556840078,0.29917806664847474,0.33854878181119313
balanced,4,sqrt,1,100,-1,42,0.5061014771997431,0.29019965565083017,0.3356948640636584
balanced,4,sqrt,2,100,-1,42,0.5105973025048169,0.2897362527752929,0.33710863852707823
,4,sqrt,1,100,-1,42,0.5144508670520231,0.2865900319428503,0.33702243276711363
,4,sqrt,2,100,-1,42,0.5131663455362877,0.28568058526512285,0.33611524391666237
