class_weight,max_depth,max_features,min_samples_leaf,n_estimators,n_jobs,random_state,val_acc,val_macro_f1,val_bal_acc
balanced,8,sqrt,1,100,-1,42,0.3356867779204108,0.3302843376045748,0.34043095692245234
balanced,8,sqrt,2,100,-1,42,0.3318356867779204,0.32912575957937446,0.3327460540513994
balanced,6,sqrt,1,100,-1,42,0.33504492939666236,0.29778936654008364,0.35975558655087125
balanced,6,sqrt,2,100,-1,42,0.3324775353016688,0.2919844169793107,0.36070120944386047
,8,sqrt,2,100,-1,42,0.37997432605905007,0.27908090888728504,0.34388004275781364
,8,sqrt,1,100,-1,42,0.37676508344030807,0.27446941415716597,0.3399820046468846
,6,sqrt,2,100,-1,42,0.3780487804878049,0.2696391710228232,0.33960970964132037
,6,sqrt,1,100,-1,42,0.3748395378690629,0.2619581350120272,0.3353328386328396
,4,sqrt,2,100,-1,42,0.38767650834403083,0.26023113811074244,0.3443202608183043
,4,sqrt,1,100,-1,42,0.38189987163029526,0.25493663424697904,0.3389275895772926
balanced,4,sqrt,1,100,-1,42,0.3119383825417201,0.2291319780691241,0.3490602665607528
balanced,4,sqrt,2,100,-1,42,0.31129653401797175,0.22894795201551252,0.3484164666188467
