class_weight,max_depth,max_features,min_samples_leaf,n_estimators,n_jobs,random_state,val_acc,val_macro_f1,val_bal_acc
balanced,8.0,sqrt,5,200,-1,42,0.3478818998716303,0.342673642835146,0.350523105299444
balanced,8.0,log2,5,200,-1,42,0.3478818998716303,0.342673642835146,0.350523105299444
balanced,8.0,sqrt,2,400,-1,42,0.33889602053915274,0.3357028706211082,0.3423235039629744
balanced,8.0,log2,2,400,-1,42,0.33889602053915274,0.3357028706211082,0.3423235039629744
balanced_subsample,8.0,sqrt,2,200,-1,42,0.3395378690629012,0.3356898130202512,0.3462765523057043
balanced_subsample,8.0,log2,2,200,-1,42,0.3395378690629012,0.3356898130202512,0.3462765523057043
balanced_subsample,8.0,sqrt,2,400,-1,42,0.34017971758664955,0.3349901619127485,0.3461294497359859
balanced_subsample,8.0,log2,2,400,-1,42,0.34017971758664955,0.3349901619127485,0.3461294497359859
balanced_subsample,8.0,sqrt,5,200,-1,42,0.34082156611039793,0.33386256707595435,0.3469183505046396
balanced_subsample,8.0,log2,5,200,-1,42,0.34082156611039793,0.33386256707595435,0.3469183505046396
balanced_subsample,8.0,sqrt,1,400,-1,42,0.34146341463414637,0.3327739777516323,0.3470609120608385
balanced_subsample,8.0,log2,1,400,-1,42,0.34146341463414637,0.3327739777516323,0.3470609120608385
balanced,8.0,sqrt,1,200,-1,42,0.3395378690629012,0.3319115706469999,0.34456126288879246
balanced,8.0,log2,1,200,-1,42,0.3395378690629012,0.3319115706469999,0.34456126288879246
balanced,8.0,sqrt,5,400,-1,42,0.3363286264441592,0.3309187639192277,0.3439160035959963
balanced,8.0,log2,5,400,-1,42,0.3363286264441592,0.3309187639192277,0.3439160035959963
balanced_subsample,8.0,sqrt,1,200,-1,42,0.33889602053915274,0.32684441684641174,0.34334975112813665
balanced_subsample,8.0,log2,1,200,-1,42,0.33889602053915274,0.32684441684641174,0.34334975112813665
balanced,8.0,sqrt,1,400,-1,42,0.33504492939666236,0.32494127601808004,0.3393867037995582
balanced,8.0,log2,1,400,-1,42,0.33504492939666236,0.32494127601808004,0.3393867037995582
balanced,8.0,sqrt,2,200,-1,42,0.32605905006418484,0.32389253622572695,0.33114171178590457
balanced,8.0,log2,2,200,-1,42,0.32605905006418484,0.32389253622572695,0.33114171178590457
balanced,,sqrt,5,400,-1,42,0.3459563543003851,0.3218906909411021,0.32903642057262905
balanced,,log2,5,400,-1,42,0.3459563543003851,0.3218906909411021,0.32903642057262905
balanced_subsample,,sqrt,5,200,-1,42,0.3478818998716303,0.3216882881340933,0.3301215233591876
balanced_subsample,,log2,5,200,-1,42,0.3478818998716303,0.3216882881340933,0.3301215233591876
balanced_subsample,,sqrt,5,400,-1,42,0.3478818998716303,0.3173357127991352,0.32831652764306346
balanced_subsample,,log2,5,400,-1,42,0.3478818998716303,0.3173357127991352,0.32831652764306346
balanced_subsample,8.0,sqrt,5,400,-1,42,0.32605905006418484,0.31673647651132775,0.3331371990059602
balanced_subsample,8.0,log2,5,400,-1,42,0.32605905006418484,0.31673647651132775,0.3331371990059602
balanced,,sqrt,5,200,-1,42,0.3395378690629012,0.3145851096949255,0.32243170004338356
balanced,,log2,5,200,-1,42,0.3395378690629012,0.3145851096949255,0.32243170004338356
,,sqrt,1,200,-1,42,0.36906290115532736,0.30236711202777306,0.3421603801527345
,,log2,1,200,-1,42,0.36906290115532736,0.30236711202777306,0.3421603801527345
balanced_subsample,,sqrt,2,200,-1,42,0.3607188703465982,0.30078168876041217,0.33415980995515476
balanced_subsample,,log2,2,200,-1,42,0.3607188703465982,0.30078168876041217,0.33415980995515476
balanced_subsample,6.0,sqrt,2,400,-1,42,0.34082156611039793,0.30048572332040074,0.37091938249921513
balanced_subsample,6.0,log2,2,400,-1,42,0.34082156611039793,0.30048572332040074,0.37091938249921513
balanced,,sqrt,2,400,-1,42,0.36777920410783055,0.29977824296506234,0.33828903600183624
balanced,,log2,2,400,-1,42,0.36777920410783055,0.29977824296506234,0.33828903600183624
balanced_subsample,6.0,sqrt,2,200,-1,42,0.33889602053915274,0.29787876197737606,0.3678741793194335
balanced_subsample,6.0,log2,2,200,-1,42,0.33889602053915274,0.29787876197737606,0.3678741793194335
balanced_subsample,,sqrt,2,400,-1,42,0.3645699614890886,0.29598362479105594,0.33534862151271566
balanced_subsample,,log2,2,400,-1,42,0.3645699614890886,0.29598362479105594,0.33534862151271566
balanced,,sqrt,2,200,-1,42,0.3613607188703466,0.2948623646891149,0.3331769517242056
balanced,,log2,2,200,-1,42,0.3613607188703466,0.2948623646891149,0.3331769517242056
,,sqrt,1,400,-1,42,0.36392811296534017,0.2942485220909147,0.3361526046728182
,,log2,1,400,-1,42,0.36392811296534017,0.2942485220909147,0.3361526046728182
,,sqrt,2,400,-1,42,0.36906290115532736,0.2936170801999946,0.33941991862581605
,,log2,2,400,-1,42,0.36906290115532736,0.2936170801999946,0.33941991862581605
balanced,6.0,sqrt,1,200,-1,42,0.3337612323491656,0.29349833625298843,0.36171022410726256
balanced,6.0,log2,1,200,-1,42,0.3337612323491656,0.29349833625298843,0.36171022410726256
,,sqrt,2,200,-1,42,0.3632862644415918,0.29281223489325875,0.33489623976255617
,,log2,2,200,-1,42,0.3632862644415918,0.29281223489325875,0.33489623976255617
balanced,6.0,sqrt,1,400,-1,42,0.33504492939666236,0.29243499633221487,0.36463556106943723
balanced,6.0,log2,1,400,-1,42,0.33504492939666236,0.29243499633221487,0.36463556106943723
balanced_subsample,6.0,sqrt,5,200,-1,42,0.33825417201540436,0.2904631708001281,0.36809990928285713
balanced_subsample,6.0,log2,5,200,-1,42,0.33825417201540436,0.2904631708001281,0.36809990928285713
balanced,6.0,sqrt,2,400,-1,42,0.3337612323491656,0.28936028236723593,0.36458470755542144
balanced,6.0,log2,2,400,-1,42,0.3337612323491656,0.28936028236723593,0.36458470755542144
,,sqrt,5,400,-1,42,0.3735558408215661,0.28889461283131035,0.3401946588263332
,,log2,5,400,-1,42,0.3735558408215661,0.28889461283131035,0.3401946588263332
balanced_subsample,6.0,sqrt,1,400,-1,42,0.3356867779204108,0.2875829466582607,0.3653020563499354
balanced_subsample,6.0,log2,1,400,-1,42,0.3356867779204108,0.2875829466582607,0.3653020563499354
,,sqrt,5,200,-1,42,0.36906290115532736,0.2859701613060264,0.33578884443770934
,,log2,5,200,-1,42,0.36906290115532736,0.2859701613060264,0.33578884443770934
balanced,6.0,sqrt,5,200,-1,42,0.334403080872914,0.2842783268820909,0.3657302834106128
balanced,6.0,log2,5,200,-1,42,0.334403080872914,0.2842783268820909,0.3657302834106128
balanced,6.0,sqrt,2,200,-1,42,0.32798459563543003,0.28423344299820313,0.35678555453543687
balanced,6.0,log2,2,200,-1,42,0.32798459563543003,0.28423344299820313,0.35678555453543687
balanced_subsample,,sqrt,1,200,-1,42,0.36649550706033374,0.28419399115609756,0.33504026066964515
balanced_subsample,,log2,1,200,-1,42,0.36649550706033374,0.28419399115609756,0.33504026066964515
balanced_subsample,,sqrt,1,400,-1,42,0.36906290115532736,0.2841810425155676,0.3362341507683035
balanced_subsample,,log2,1,400,-1,42,0.36906290115532736,0.2841810425155676,0.3362341507683035
balanced_subsample,6.0,sqrt,1,200,-1,42,0.32926829268292684,0.28392154901045324,0.35554426715212073
balanced_subsample,6.0,log2,1,200,-1,42,0.32926829268292684,0.28392154901045324,0.35554426715212073
balanced_subsample,6.0,sqrt,5,400,-1,42,0.3363286264441592,0.28318540749015364,0.3702908181806011
balanced_subsample,6.0,log2,5,400,-1,42,0.3363286264441592,0.28318540749015364,0.3702908181806011
balanced,,sqrt,1,400,-1,42,0.3600770218228498,0.2812160354094107,0.3290486426363333
balanced,,log2,1,400,-1,42,0.3600770218228498,0.2812160354094107,0.3290486426363333
balanced,6.0,sqrt,5,400,-1,42,0.334403080872914,0.27762926861886295,0.3690727685279578
balanced,6.0,log2,5,400,-1,42,0.334403080872914,0.27762926861886295,0.3690727685279578
,8.0,sqrt,1,400,-1,42,0.3851091142490372,0.27551117938214714,0.34621189090001714
,8.0,log2,1,400,-1,42,0.3851091142490372,0.27551117938214714,0.34621189090001714
,8.0,sqrt,2,200,-1,42,0.3793324775353017,0.27271635438841807,0.3409975572022741
,8.0,log2,2,200,-1,42,0.3793324775353017,0.27271635438841807,0.3409975572022741
balanced,,sqrt,1,200,-1,42,0.35430038510911427,0.2722549532859253,0.3227980579230767
balanced,,log2,1,200,-1,42,0.35430038510911427,0.2722549532859253,0.3227980579230767
,8.0,sqrt,2,400,-1,42,0.383183568677792,0.27139753817184253,0.34343419403513864
,8.0,log2,2,400,-1,42,0.383183568677792,0.27139753817184253,0.34343419403513864
,8.0,sqrt,5,200,-1,42,0.3851091142490372,0.27104291631637845,0.34469709683738814
,8.0,log2,5,200,-1,42,0.3851091142490372,0.27104291631637845,0.34469709683738814
,6.0,sqrt,5,200,-1,42,0.38960205391527597,0.26893277008219535,0.347588117163383
,6.0,log2,5,200,-1,42,0.38960205391527597,0.26893277008219535,0.347588117163383
,6.0,sqrt,5,400,-1,42,0.3851091142490372,0.26852701907943133,0.3442069373571879
,6.0,log2,5,400,-1,42,0.3851091142490372,0.26852701907943133,0.3442069373571879
,8.0,sqrt,5,400,-1,42,0.38189987163029526,0.26765446999534154,0.34173452453725345
,8.0,log2,5,400,-1,42,0.38189987163029526,0.26765446999534154,0.34173452453725345
,8.0,sqrt,1,200,-1,42,0.3735558408215661,0.26576913898238136,0.3355267960951351
,8.0,log2,1,200,-1,42,0.3735558408215661,0.26576913898238136,0.3355267960951351
,6.0,sqrt,1,400,-1,42,0.383183568677792,0.2610901569118706,0.3411395763663922
,6.0,log2,1,400,-1,42,0.383183568677792,0.2610901569118706,0.3411395763663922
,6.0,sqrt,2,200,-1,42,0.37997432605905007,0.26094280510018214,0.33876741122359916
,6.0,log2,2,200,-1,42,0.37997432605905007,0.26094280510018214,0.33876741122359916
,6.0,sqrt,2,400,-1,42,0.37869062901155326,0.25978099831594154,0.33755790120591417
,6.0,log2,2,400,-1,42,0.37869062901155326,0.25978099831594154,0.33755790120591417
,4.0,sqrt,5,400,-1,42,0.3908857509627728,0.25964248872221124,0.3465921782839559
,4.0,log2,5,400,-1,42,0.3908857509627728,0.25964248872221124,0.3465921782839559
,6.0,sqrt,1,200,-1,42,0.37869062901155326,0.25845757178799406,0.3372571581744898
,6.0,log2,1,200,-1,42,0.37869062901155326,0.25845757178799406,0.3372571581744898
,4.0,sqrt,5,200,-1,42,0.38575096277278564,0.25298669142680286,0.3414533951817915
,4.0,log2,5,200,-1,42,0.38575096277278564,0.25298669142680286,0.3414533951817915
,4.0,sqrt,1,400,-1,42,0.3870346598202824,0.2490800401437028,0.3417606761052034
,4.0,log2,1,400,-1,42,0.3870346598202824,0.2490800401437028,0.3417606761052034
,4.0,sqrt,2,400,-1,42,0.38575096277278564,0.2447674285151544,0.34004992770181114
,4.0,log2,2,400,-1,42,0.38575096277278564,0.2447674285151544,0.34004992770181114
,4.0,sqrt,1,200,-1,42,0.383183568677792,0.23194907615813257,0.3361271925093192
,4.0,log2,1,200,-1,42,0.383183568677792,0.23194907615813257,0.3361271925093192
balanced,4.0,sqrt,5,400,-1,42,0.31450577663671375,0.2312920976787307,0.35302785490285077
balanced,4.0,log2,5,400,-1,42,0.31450577663671375,0.2312920976787307,0.35302785490285077
balanced_subsample,4.0,sqrt,2,200,-1,42,0.3119383825417201,0.23127285625049757,0.3496728315291086
balanced_subsample,4.0,log2,2,200,-1,42,0.3119383825417201,0.23127285625049757,0.3496728315291086
,4.0,sqrt,2,200,-1,42,0.383183568677792,0.23122529644268774,0.33602694483217777
,4.0,log2,2,200,-1,42,0.383183568677792,0.23122529644268774,0.33602694483217777
balanced,4.0,sqrt,5,200,-1,42,0.3119383825417201,0.23086845323313818,0.3494723361748257
balanced,4.0,log2,5,200,-1,42,0.3119383825417201,0.23086845323313818,0.3494723361748257
balanced_subsample,4.0,sqrt,5,400,-1,42,0.31322207958921694,0.23074265190777377,0.35164000734189704
balanced_subsample,4.0,log2,5,400,-1,42,0.31322207958921694,0.23074265190777377,0.35164000734189704
balanced_subsample,4.0,sqrt,1,200,-1,42,0.31258023106546856,0.2303187485985306,0.35020530488836626
balanced_subsample,4.0,log2,1,200,-1,42,0.31258023106546856,0.2303187485985306,0.35020530488836626
balanced,4.0,sqrt,2,200,-1,42,0.3119383825417201,0.22977558260813877,0.3498511690723774
balanced,4.0,log2,2,200,-1,42,0.3119383825417201,0.22977558260813877,0.3498511690723774
balanced_subsample,4.0,sqrt,1,400,-1,42,0.31258023106546856,0.22969278001990837,0.3509851284944838
balanced_subsample,4.0,log2,1,400,-1,42,0.31258023106546856,0.22969278001990837,0.3509851284944838
balanced,4.0,sqrt,1,200,-1,42,0.31129653401797175,0.22928484440683392,0.34851671429598813
balanced,4.0,log2,1,200,-1,42,0.31129653401797175,0.22928484440683392,0.34851671429598813
balanced,4.0,sqrt,2,400,-1,42,0.3119383825417201,0.22886345335702982,0.3505307450013535
balanced,4.0,log2,2,400,-1,42,0.3119383825417201,0.22886345335702982,0.3505307450013535
balanced_subsample,4.0,sqrt,2,400,-1,42,0.3119383825417201,0.2288354728890217,0.3505307450013535
balanced_subsample,4.0,log2,2,400,-1,42,0.3119383825417201,0.2288354728890217,0.3505307450013535
balanced,4.0,sqrt,1,400,-1,42,0.3119383825417201,0.2287502255877282,0.35043049732421205
balanced,4.0,log2,1,400,-1,42,0.3119383825417201,0.2287502255877282,0.35043049732421205
balanced_subsample,4.0,sqrt,5,200,-1,42,0.31129653401797175,0.22874881275340422,0.34880637842190537
balanced_subsample,4.0,log2,5,200,-1,42,0.31129653401797175,0.22874881275340422,0.34880637842190537
